signature,level,weight,sage_status,level_status,schema_valid,newform_count,selected_good_primes,coefficient_row_count,rational_integer_coefficient_count,nonrational_coefficient_count,unclear_coefficient_count,coefficient_field_status,import_status,error_message,source_path,route_ceiling_label
5-4-5,20,2,completed,completed,True,1,3;13;17;41;61,5,5,0,0,all_clear,completed,,runs/sage_followup_ci/candidate_level_newforms_545.json,worth_human_modular_review
5-4-5,4,2,completed,completed,True,0,3;13;17;41;61,0,0,0,0,no_coefficients,completed,,runs/sage_followup_ci/candidate_level_newforms_545.json,worth_human_modular_review
5-4-5,10,2,completed,completed,True,0,3;13;17;41;61,0,0,0,0,no_coefficients,completed,,runs/sage_followup_ci/candidate_level_newforms_545.json,worth_human_modular_review
5-4-5,40,2,completed,completed,True,1,3;13;17;41;61,5,5,0,0,all_clear,completed,,runs/sage_followup_ci/candidate_level_newforms_545.json,worth_human_modular_review
5-4-5,100,2,completed,completed,True,1,3;13;17;41;61,5,5,0,0,all_clear,completed,,runs/sage_followup_ci/candidate_level_newforms_545.json,worth_human_modular_review
5-4-5,220,2,completed,completed,True,2,3;13;17;41;61,10,10,0,0,all_clear,completed,,runs/sage_followup_ci/candidate_level_newforms_545.json,worth_human_modular_review
5-4-5,2,2,completed,completed,True,0,3;13;17;41;61,0,0,0,0,no_coefficients,completed,,runs/sage_followup_ci/candidate_level_newforms_545.json,worth_human_modular_review
5-4-5,5,2,completed,completed,True,0,3;13;17;41;61,0,0,0,0,no_coefficients,completed,,runs/sage_followup_ci/candidate_level_newforms_545.json,worth_human_modular_review
5-4-5,8,2,completed,completed,True,0,3;13;17;41;61,0,0,0,0,no_coefficients,completed,,runs/sage_followup_ci/candidate_level_newforms_545.json,worth_human_modular_review
5-4-5,50,2,completed,completed,True,2,3;13;17;41;61,10,10,0,0,all_clear,completed,,runs/sage_followup_ci/candidate_level_newforms_545.json,worth_human_modular_review
5-4-5,200,2,completed,completed,True,5,3;13;17;41;61,25,25,0,0,all_clear,completed,,runs/sage_followup_ci/candidate_level_newforms_545.json,worth_human_modular_review
5-4-5,44,2,completed,completed,True,1,3;13;17;41;61,5,5,0,0,all_clear,completed,,runs/sage_followup_ci/candidate_level_newforms_545.json,worth_human_modular_review
5-4-5,110,2,completed,completed,True,4,3;13;17;41;61,20,16,4,4,mixed_or_unclear,completed,,runs/sage_followup_ci/candidate_level_newforms_545.json,worth_human_modular_review
5-4-5,440,2,completed,completed,True,7,3;13;17;41;61,35,23,12,12,mixed_or_unclear,completed,,runs/sage_followup_ci/candidate_level_newforms_545.json,worth_human_modular_review
5-4-5,1100,2,completed,completed,True,10,3;13;17;41;61,50,27,23,23,mixed_or_unclear,completed,,runs/sage_followup_ci/candidate_level_newforms_545.json,worth_human_modular_review
5-4-5,1,2,completed,completed,True,0,3;13;17;41;61,0,0,0,0,no_coefficients,completed,,runs/sage_followup_ci/candidate_level_newforms_545.json,worth_human_modular_review
5-4-5,25,2,completed,completed,True,0,3;13;17;41;61,0,0,0,0,no_coefficients,completed,,runs/sage_followup_ci/candidate_level_newforms_545.json,worth_human_modular_review
5-4-5,22,2,completed,completed,True,0,3;13;17;41;61,0,0,0,0,no_coefficients,completed,,runs/sage_followup_ci/candidate_level_newforms_545.json,worth_human_modular_review
5-4-5,55,2,completed,completed,True,2,3;13;17;41;61,10,6,4,4,mixed_or_unclear,completed,,runs/sage_followup_ci/candidate_level_newforms_545.json,worth_human_modular_review
5-4-5,88,2,completed,completed,True,2,3;13;17;41;61,10,6,4,4,mixed_or_unclear,completed,,runs/sage_followup_ci/candidate_level_newforms_545.json,worth_human_modular_review
5-4-5,550,2,completed,completed,True,14,3;13;17;41;61,70,66,4,4,mixed_or_unclear,completed,,runs/sage_followup_ci/candidate_level_newforms_545.json,worth_human_modular_review
5-4-5,2200,2,completed,completed,True,25,3;13;17;41;61,125,63,62,62,mixed_or_unclear,completed,,runs/sage_followup_ci/candidate_level_newforms_545.json,worth_human_modular_review
5-4-5,11,2,completed,completed,True,1,3;13;17;41;61,5,5,0,0,all_clear,completed,,runs/sage_followup_ci/candidate_level_newforms_545.json,worth_human_modular_review
5-4-5,275,2,completed,completed,True,8,3;13;17;41;61,40,16,24,24,mixed_or_unclear,completed,,runs/sage_followup_ci/candidate_level_newforms_545.json,worth_human_modular_review
