signature,level,factorization_hint,level_source,newform_count,coefficient_status,trace_filter_status,robustness_label,notes,route_ceiling_label
5-4-5,5,5,nearby_2_5_11_support,0,not_checked,not_checked,level_data_insufficient,No Sage coefficient extraction has been run for this nearby level.,worth_human_modular_review
5-4-5,10,2 * 5,nearby_2_5_11_support,0,not_checked,not_checked,level_data_insufficient,No Sage coefficient extraction has been run for this nearby level.,worth_human_modular_review
5-4-5,11,11,nearby_2_5_11_support,0,not_checked,not_checked,level_data_insufficient,No Sage coefficient extraction has been run for this nearby level.,worth_human_modular_review
5-4-5,20,2^2 * 5,nearby_2_5_11_support,0,not_checked,not_checked,level_data_insufficient,No Sage coefficient extraction has been run for this nearby level.,worth_human_modular_review
5-4-5,22,2 * 11,nearby_2_5_11_support,0,not_checked,not_checked,level_data_insufficient,No Sage coefficient extraction has been run for this nearby level.,worth_human_modular_review
5-4-5,25,5^2,nearby_2_5_11_support,0,not_checked,not_checked,level_data_insufficient,No Sage coefficient extraction has been run for this nearby level.,worth_human_modular_review
5-4-5,40,2^3 * 5,nearby_2_5_11_support,0,not_checked,not_checked,level_data_insufficient,No Sage coefficient extraction has been run for this nearby level.,worth_human_modular_review
5-4-5,44,2^2 * 11,nearby_2_5_11_support,0,not_checked,not_checked,level_data_insufficient,No Sage coefficient extraction has been run for this nearby level.,worth_human_modular_review
5-4-5,50,2 * 5^2,nearby_2_5_11_support,0,not_checked,not_checked,level_data_insufficient,No Sage coefficient extraction has been run for this nearby level.,worth_human_modular_review
5-4-5,55,5 * 11,nearby_2_5_11_support,0,not_checked,not_checked,level_data_insufficient,No Sage coefficient extraction has been run for this nearby level.,worth_human_modular_review
5-4-5,88,2^3 * 11,nearby_2_5_11_support,0,not_checked,not_checked,level_data_insufficient,No Sage coefficient extraction has been run for this nearby level.,worth_human_modular_review
5-4-5,100,2^2 * 5^2,nearby_2_5_11_support,0,not_checked,not_checked,level_data_insufficient,No Sage coefficient extraction has been run for this nearby level.,worth_human_modular_review
5-4-5,110,2 * 5 * 11,nearby_2_5_11_support,0,not_checked,not_checked,level_data_insufficient,No Sage coefficient extraction has been run for this nearby level.,worth_human_modular_review
5-4-5,121,11^2,nearby_2_5_11_support,0,not_checked,not_checked,level_data_insufficient,No Sage coefficient extraction has been run for this nearby level.,worth_human_modular_review
5-4-5,200,2^3 * 5^2,nearby_2_5_11_support,0,not_checked,not_checked,level_data_insufficient,No Sage coefficient extraction has been run for this nearby level.,worth_human_modular_review
5-4-5,220,2^2 * 5 * 11,current_route_target,2,completed,trace_mismatch_candidate,level_220_mismatch_candidate,Level 220 is the only level with imported coefficient data in the current roundtrip.,worth_human_modular_review
5-4-5,242,2 * 11^2,nearby_2_5_11_support,0,not_checked,not_checked,level_data_insufficient,No Sage coefficient extraction has been run for this nearby level.,worth_human_modular_review
5-4-5,275,5^2 * 11,nearby_2_5_11_support,0,not_checked,not_checked,level_data_insufficient,No Sage coefficient extraction has been run for this nearby level.,worth_human_modular_review
5-4-5,440,2^3 * 5 * 11,nearby_2_5_11_support,0,not_checked,not_checked,level_data_insufficient,No Sage coefficient extraction has been run for this nearby level.,worth_human_modular_review
5-4-5,484,2^2 * 11^2,nearby_2_5_11_support,0,not_checked,not_checked,level_data_insufficient,No Sage coefficient extraction has been run for this nearby level.,worth_human_modular_review
5-4-5,550,2 * 5^2 * 11,nearby_2_5_11_support,0,not_checked,not_checked,level_data_insufficient,No Sage coefficient extraction has been run for this nearby level.,worth_human_modular_review
5-4-5,605,5 * 11^2,nearby_2_5_11_support,0,not_checked,not_checked,level_data_insufficient,No Sage coefficient extraction has been run for this nearby level.,worth_human_modular_review
5-4-5,880,2^4 * 5 * 11,nearby_2_5_11_support,0,not_checked,not_checked,level_data_insufficient,No Sage coefficient extraction has been run for this nearby level.,worth_human_modular_review
5-4-5,968,2^3 * 11^2,nearby_2_5_11_support,0,not_checked,not_checked,level_data_insufficient,No Sage coefficient extraction has been run for this nearby level.,worth_human_modular_review
5-4-5,1100,2^2 * 5^2 * 11,nearby_2_5_11_support,0,not_checked,not_checked,level_data_insufficient,No Sage coefficient extraction has been run for this nearby level.,worth_human_modular_review
5-4-5,1210,2 * 5 * 11^2,nearby_2_5_11_support,0,not_checked,not_checked,level_data_insufficient,No Sage coefficient extraction has been run for this nearby level.,worth_human_modular_review
5-4-5,2200,2^3 * 5^2 * 11,nearby_2_5_11_support,0,not_checked,not_checked,level_data_insufficient,No Sage coefficient extraction has been run for this nearby level.,worth_human_modular_review
5-4-5,2420,2^2 * 5 * 11^2,nearby_2_5_11_support,0,not_checked,not_checked,level_data_insufficient,No Sage coefficient extraction has been run for this nearby level.,worth_human_modular_review
