signature,prime,trace_filter_eliminates_newform_count,trace_filter_survives_newform_count,nonunit_locally_possible_count,nonunit_resolved_count,nonunit_unresolved_count,full_local_coverage,supports_stronger_local_trace_candidate,coverage_label,reason
5-4-5,3,2,0,3,0,3,False,False,bad_reduction_requires_separate_argument,At least one locally possible nonunit mask gives singular or non-good reduction outside the current trace comparison.
5-4-5,7,0,2,3,0,3,False,False,bad_reduction_requires_separate_argument,At least one locally possible nonunit mask gives singular or non-good reduction outside the current trace comparison.
5-4-5,13,1,1,3,0,3,False,False,bad_reduction_requires_separate_argument,At least one locally possible nonunit mask gives singular or non-good reduction outside the current trace comparison.
5-4-5,17,1,1,3,0,3,False,False,bad_reduction_requires_separate_argument,At least one locally possible nonunit mask gives singular or non-good reduction outside the current trace comparison.
5-4-5,19,0,2,3,0,3,False,False,bad_reduction_requires_separate_argument,At least one locally possible nonunit mask gives singular or non-good reduction outside the current trace comparison.
5-4-5,23,0,2,3,0,3,False,False,bad_reduction_requires_separate_argument,At least one locally possible nonunit mask gives singular or non-good reduction outside the current trace comparison.
5-4-5,29,0,2,3,0,3,False,False,bad_reduction_requires_separate_argument,At least one locally possible nonunit mask gives singular or non-good reduction outside the current trace comparison.
5-4-5,31,0,2,3,0,3,False,False,bad_reduction_requires_separate_argument,At least one locally possible nonunit mask gives singular or non-good reduction outside the current trace comparison.
5-4-5,37,0,2,3,0,3,False,False,bad_reduction_requires_separate_argument,At least one locally possible nonunit mask gives singular or non-good reduction outside the current trace comparison.
5-4-5,41,1,1,3,0,3,False,False,bad_reduction_requires_separate_argument,At least one locally possible nonunit mask gives singular or non-good reduction outside the current trace comparison.
5-4-5,43,0,2,3,0,3,False,False,bad_reduction_requires_separate_argument,At least one locally possible nonunit mask gives singular or non-good reduction outside the current trace comparison.
5-4-5,47,0,2,3,0,3,False,False,bad_reduction_requires_separate_argument,At least one locally possible nonunit mask gives singular or non-good reduction outside the current trace comparison.
5-4-5,53,0,2,3,0,3,False,False,bad_reduction_requires_separate_argument,At least one locally possible nonunit mask gives singular or non-good reduction outside the current trace comparison.
5-4-5,59,0,2,3,0,3,False,False,bad_reduction_requires_separate_argument,At least one locally possible nonunit mask gives singular or non-good reduction outside the current trace comparison.
5-4-5,61,1,1,3,0,3,False,False,bad_reduction_requires_separate_argument,At least one locally possible nonunit mask gives singular or non-good reduction outside the current trace comparison.
5-4-5,67,0,2,3,0,3,False,False,bad_reduction_requires_separate_argument,At least one locally possible nonunit mask gives singular or non-good reduction outside the current trace comparison.
5-4-5,71,0,2,3,0,3,False,False,bad_reduction_requires_separate_argument,At least one locally possible nonunit mask gives singular or non-good reduction outside the current trace comparison.
5-4-5,73,0,2,3,0,3,False,False,bad_reduction_requires_separate_argument,At least one locally possible nonunit mask gives singular or non-good reduction outside the current trace comparison.
5-4-5,79,0,2,3,0,3,False,False,bad_reduction_requires_separate_argument,At least one locally possible nonunit mask gives singular or non-good reduction outside the current trace comparison.
5-4-5,83,0,2,3,0,3,False,False,bad_reduction_requires_separate_argument,At least one locally possible nonunit mask gives singular or non-good reduction outside the current trace comparison.
5-4-5,89,0,2,3,0,3,False,False,bad_reduction_requires_separate_argument,At least one locally possible nonunit mask gives singular or non-good reduction outside the current trace comparison.
5-4-5,97,0,2,3,0,3,False,False,bad_reduction_requires_separate_argument,At least one locally possible nonunit mask gives singular or non-good reduction outside the current trace comparison.
